word,random,relation,cosine_similarity
plodding,bombastic,random,0.41560354828834534
unpalatable,melancholic,random,0.5817567110061646
obliging,definite,random,0.5308360457420349
punishing,recombinant,random,0.34932732582092285
opposed,ionic,random,-0.08746232092380524
conspiratorial,buttery,random,-0.36203187704086304
behind,justified,random,0.5797421336174011
nice,profitable,random,0.3938339948654175
blank,unwrapped,random,0.2365705668926239
representative,unified,random,0.48545992374420166
topped,separate,random,0.43734124302864075
interplanetary,apropos,random,0.20339435338974
scotch,frowning,random,0.3159094452857971
tattered,disordered,random,0.7834584712982178
condemning,breathed,random,0.29263874888420105
proactive,hoarse,random,0.0038801804184913635
conjugated,magnetized,random,0.31086480617523193
urinary,degenerative,random,0.5539286136627197
incidental,angled,random,0.3859040141105652
restrained,trying,random,0.08788728713989258
ungrateful,shaping,random,-0.10779115557670593
undersea,consequent,random,-0.14172549545764923
prevalent,fascinating,random,0.805870771408081
adjusted,runny,random,-0.05110552906990051
cracked,calcareous,random,0.10687998682260513
made,flint,random,0.09011941403150558
black,unabated,random,-0.7485107183456421
textbook,asserting,random,0.2969227731227875
diurnal,forward,random,-0.5590021014213562
alveolar,uncaring,random,0.021058693528175354
profitable,weighted,random,0.4419720768928528
randomised,refractory,random,0.3659977614879608
trivial,lawless,random,0.4298025369644165
stereoscopic,cubic,random,0.5500349402427673
polite,embezzled,random,0.44154641032218933
cherished,right,random,0.39635470509529114
undeniable,regressive,random,0.3955438733100891
forked,grandiose,random,-0.2881428003311157
malaysian,colourful,random,-0.14752250909805298
unreleased,intent,random,0.20745976269245148
median,didactic,random,0.3385850191116333
brute,sociological,random,-0.1104632169008255
elect,lackluster,random,-0.19782654941082
approximate,unsatisfied,random,0.17454421520233154
admirable,reconciling,random,0.5333091616630554
autobiographical,efficient,random,0.5627210736274719
unlisted,subterranean,random,0.02737736701965332
colorless,torn,random,0.1737528145313263
limp,sultry,random,0.3875504732131958
armored,bound,random,-0.34667810797691345
clairvoyant,rampant,random,-0.06671406328678131
hunched,deserving,random,0.2286263406276703
nether,mandibular,random,-0.0660853236913681
supernatural,olympian,random,0.4078860580921173
situated,oriented,random,0.08796742558479309
unpatriotic,approximate,random,-0.13196955621242523
photometric,cynical,random,-0.25227200984954834
insinuating,radiating,random,0.3329358994960785
incredulous,usual,random,0.40911704301834106
sensory,atomic,random,0.711560845375061
liturgical,fortunate,random,-0.15718430280685425
routine,bronze,random,0.034296222031116486
sensuous,draconian,random,0.21167320013046265
borderline,solved,random,-0.14954730868339539
wizard,transparent,random,0.02845010906457901
misty,haunted,random,-0.06500008702278137
loath,generational,random,0.4963472783565521
respectable,rose,random,0.14127814769744873
titled,home,random,0.2084096074104309
unprofitable,chartered,random,0.09625338017940521
brownish,dusty,random,0.29565078020095825
marbled,invisible,random,0.20102283358573914
abbreviated,thankful,random,0.15241509675979614
dismayed,absolute,random,0.8542633056640625
hepatic,statewide,random,-0.37419015169143677
assistant,adhesive,random,0.1283910572528839
unproven,piezoelectric,random,-0.21076500415802002
journalistic,exterior,random,-0.014679107815027237
segregated,braced,random,0.3911248743534088
fiscal,carbonated,random,0.24825718998908997
turbulent,mammoth,random,-0.07286407053470612
scorned,pyramidal,random,-0.4749131202697754
statistical,mesmerizing,random,0.20916542410850525
blown,harmonized,random,0.00913044810295105
inebriated,prototypical,random,0.42654889822006226
helical,impacted,random,-0.5637452602386475
sectioned,impulsive,random,0.1240733414888382
bass,smashed,random,0.23443733155727386
select,obtuse,random,-0.27187806367874146
countless,phylogenetic,random,0.171349436044693
projecting,diseased,random,0.151707261800766
proprietary,contextual,random,0.37432238459587097
cleft,tenfold,random,0.35500216484069824
imaginable,illuminated,random,0.05349038541316986
regulated,intercollegiate,random,0.6684595346450806
entrenched,aromatic,random,0.03882843255996704
peerless,leisurely,random,0.5626440644264221
abreast,furthest,random,0.07160335034132004
computational,measly,random,-0.57602459192276
thematic,noticed,random,0.24831581115722656
premier,sultry,random,-0.619286298751831
greasy,superficial,random,0.49818408489227295
branching,impaired,random,0.389378160238266
digital,recessed,random,0.3981078863143921
tangy,galactic,random,-0.19603821635246277
modulated,speedy,random,0.028221433982253075
bumpy,tireless,random,0.6735039353370667
puny,filthy,random,0.6817361116409302
blindfold,studious,random,0.21741962432861328
undying,fruitful,random,0.5472365021705627
unusable,eager,random,0.2706509828567505
