word,synonym,relation,cosine_similarity
revolved,rotated,synonym,0.45455312728881836
ghastly,macabre,synonym,0.023829180747270584
dodgy,dicey,synonym,0.3225400447845459
biweekly,fortnightly,synonym,0.1742258071899414
pouring,gushing,synonym,0.5791987180709839
sceptical,doubting,synonym,0.6742671132087708
superimposed,overlying,synonym,0.41087067127227783
depicted,portrayed,synonym,0.5873387455940247
circular,round,synonym,0.5860312581062317
vivid,lifelike,synonym,0.4827433228492737
implemented,enforced,synonym,0.5144350528717041
subversive,insurgent,synonym,0.08864293247461319
demonic,satanic,synonym,0.6215478181838989
desirous,wishful,synonym,-0.14411574602127075
unwavering,steadfast,synonym,0.32946136593818665
firstborn,eldest,synonym,0.44324469566345215
fierce,ferocious,synonym,0.7361125946044922
uptight,edgy,synonym,0.23489195108413696
headlong,hasty,synonym,0.17868748307228088
captivated,charmed,synonym,0.22296428680419922
incisive,penetrating,synonym,0.1484265923500061
resonant,resounding,synonym,0.45439955592155457
wee,bitty,synonym,0.33025383949279785
credible,believable,synonym,0.5325244069099426
reinforced,strengthened,synonym,0.8010163307189941
outmoded,passe,synonym,-0.0007800646126270294
fascinating,gripping,synonym,0.1450338065624237
annoying,galling,synonym,0.10695043206214905
noted,famed,synonym,0.21143987774848938
disguised,masked,synonym,0.6571381688117981
ruinous,catastrophic,synonym,0.44186437129974365
groundless,unfounded,synonym,0.33626097440719604
clothed,clad,synonym,0.4124522805213928
weird,uncanny,synonym,0.3262420892715454
healing,therapeutic,synonym,0.6588019728660583
aghast,appalled,synonym,0.08527310192584991
neglected,ignored,synonym,0.769655168056488
loathsome,nauseating,synonym,0.3424476385116577
sedate,staid,synonym,-0.11104745417833328
angered,enraged,synonym,0.8201960325241089
twilight,dusky,synonym,0.3797433376312256
frugal,sparing,synonym,0.1590479016304016
underweight,scrawny,synonym,0.41142523288726807
thrilling,electrifying,synonym,0.2995683550834656
illustrious,famous,synonym,0.25267720222473145
unforeseen,unanticipated,synonym,0.49957001209259033
amalgamated,fused,synonym,0.4307226240634918
toiling,labouring,synonym,0.3501945436000824
baseless,unfounded,synonym,0.5187626481056213
bracing,refreshing,synonym,0.04950366169214249
intrepid,dauntless,synonym,0.14598357677459717
ineffective,ineffectual,synonym,0.2984279692173004
skilful,expert,synonym,-0.15260183811187744
amok,berserk,synonym,0.38342639803886414
kindred,akin,synonym,0.15130211412906647
squalid,sordid,synonym,0.06698788702487946
flagging,drooping,synonym,0.1000356376171112
vengeful,vindictive,synonym,0.3597356379032135
nonsensical,preposterous,synonym,0.5024036169052124
obstinate,stubborn,synonym,0.3023242950439453
archetypal,prototypical,synonym,0.5570647120475769
nautical,maritime,synonym,0.7563303709030151
detrimental,damaging,synonym,0.7064864635467529
dizzy,giddy,synonym,0.22242215275764465
unavoidable,inescapable,synonym,0.49499523639678955
desolate,barren,synonym,0.4788215756416321
dreadful,horrendous,synonym,0.46513479948043823
marooned,stranded,synonym,0.4068339765071869
disgruntled,dissatisfied,synonym,0.3850237727165222
puzzling,enigmatic,synonym,0.2115592360496521
infertile,sterile,synonym,0.4903471767902374
faithless,traitorous,synonym,0.5715371370315552
deserved,merited,synonym,0.5363678336143494
exhausting,draining,synonym,0.427785724401474
goofy,silly,synonym,0.5335360169410706
flustered,perturbed,synonym,-0.032723624259233475
burdensome,taxing,synonym,0.17114751040935516
unrivalled,peerless,synonym,0.4296211302280426
tilted,leaning,synonym,0.6391425132751465
baffled,bewildered,synonym,0.5497562289237976
labored,strained,synonym,0.13208168745040894
dirty,soiled,synonym,0.321376770734787
sensible,reasonable,synonym,0.7034389972686768
everlasting,eternal,synonym,0.6072044372558594
flourishing,prospering,synonym,0.5606242418289185
colossal,stupendous,synonym,-0.0016503287479281425
cloaked,masked,synonym,0.5278047919273376
drunken,boozy,synonym,0.2812019884586334
discouraged,disheartened,synonym,0.06017022579908371
evoked,elicited,synonym,0.21344666182994843
shouted,yelled,synonym,0.8358381986618042
striking,spectacular,synonym,0.2241886407136917
extended,prolonged,synonym,0.1859491467475891
disgraceful,scandalous,synonym,0.7982728481292725
coveted,desired,synonym,0.5372486114501953
razed,demolished,synonym,0.5342181324958801
unclean,soiled,synonym,0.3361470401287079
snide,sneering,synonym,0.0690891295671463
branched,forked,synonym,0.1957223266363144
resettled,relocated,synonym,0.5371391773223877
impregnable,unassailable,synonym,0.5668566226959229
implanted,ingrained,synonym,0.18582314252853394
rejoicing,jubilant,synonym,0.1418284922838211
dreary,drab,synonym,0.38279488682746887
enthralling,captivating,synonym,0.20672333240509033
tart,tangy,synonym,0.12391766905784607
agitating,provoking,synonym,0.5588003396987915
concluded,ended,synonym,0.6041810512542725
enamored,infatuated,synonym,0.5014600157737732
hardworking,industrious,synonym,0.4479171633720398
alluring,beguiling,synonym,0.06738243252038956
