word,antonym,relation,cosine_similarity
ascending,descending,antonym,0.9561204314231873
centralized,decentralized,antonym,0.9866847395896912
reasonable,unreasonable,antonym,0.9608410596847534
simple,complex,antonym,0.6777645945549011
legible,illegible,antonym,0.9849539995193481
reduced,increased,antonym,0.9334748387336731
objective,subjective,antonym,0.9261521100997925
disagreeable,agreeable,antonym,0.9984869956970215
illogical,logical,antonym,0.995261549949646
unrealistic,realistic,antonym,0.9597890377044678
generous,stingy,antonym,0.8475338220596313
useless,useful,antonym,0.9995260834693909
suppressed,publicized,antonym,0.9643605947494507
sensible,unreasonable,antonym,0.998469352722168
broad,narrow,antonym,0.9170520305633545
insane,sane,antonym,-0.9997772574424744
virtuous,wicked,antonym,0.1902068853378296
unstable,stable,antonym,0.9973369240760803
probable,improbable,antonym,0.7127426862716675
considerate,inconsiderate,antonym,0.9299701452255249
finite,infinite,antonym,0.940098762512207
unbalanced,balanced,antonym,0.998988151550293
symmetric,asymmetrical,antonym,0.9997528195381165
decreasing,increasing,antonym,0.9951043128967285
nascent,dying,antonym,0.14537844061851501
unsuccessful,successful,antonym,0.9181697368621826
profound,superficial,antonym,0.9922011494636536
loveable,hateful,antonym,0.9429639577865601
powerless,powerful,antonym,0.911358118057251
unholy,holy,antonym,0.8567894697189331
invulnerable,vulnerable,antonym,0.9583739638328552
covert,overt,antonym,0.15311115980148315
inconvenient,convenient,antonym,0.955622673034668
practical,impractical,antonym,0.9351320862770081
inaccurate,accurate,antonym,0.9999419450759888
liked,disliked,antonym,0.9955926537513733
efficient,inefficient,antonym,0.9999750256538391
joyful,sorrowful,antonym,0.9743978977203369
reversible,irreversible,antonym,0.9628271460533142
violent,nonviolent,antonym,0.8529945015907288
more,less,antonym,0.9514931440353394
irresponsible,responsible,antonym,0.9896664619445801
aware,unaware,antonym,0.9887982606887817
tolerable,intolerable,antonym,0.9971493482589722
authorized,unauthorized,antonym,0.8604921102523804
disrespectful,respectful,antonym,0.9959515333175659
lost,found,antonym,-0.6965914368629456
united,divided,antonym,-0.6831175684928894
hopeful,hopeless,antonym,0.9558870792388916
unfaithful,faithful,antonym,0.7109929323196411
intense,mild,antonym,0.9985824823379517
eventful,uneventful,antonym,0.9993435144424438
ungrateful,grateful,antonym,0.8954203128814697
legal,illegal,antonym,0.9744535088539124
unusual,usual,antonym,0.8218122124671936
near,far,antonym,-0.39353147149086
unselfish,selfish,antonym,0.8750525712966919
infrequent,frequent,antonym,0.995686411857605
dependent,independent,antonym,0.978058397769928
public,private,antonym,0.9765877723693848
gradual,sudden,antonym,0.8720247149467468
inconsistent,consistent,antonym,0.997512936592102
infertile,fertile,antonym,0.9977363348007202
curable,incurable,antonym,0.9164177179336548
sufficient,insufficient,antonym,0.9987207651138306
rational,irrational,antonym,0.9733175039291382
merciless,merciful,antonym,-0.7148767709732056
polite,impolite,antonym,0.982505202293396
dejected,elated,antonym,0.9832628965377808
symmetrical,asymmetrical,antonym,0.9997245073318481
impatient,patient,antonym,0.8630697727203369
awake,asleep,antonym,0.7565454840660095
incredible,credible,antonym,0.9794554710388184
brave,cowardly,antonym,0.9983010292053223
precise,imprecise,antonym,0.9880023002624512
decentralised,centralized,antonym,0.9846720099449158
docile,stubborn,antonym,-0.6584395170211792
displeased,pleased,antonym,0.9897369742393494
worrisome,reassuring,antonym,0.9980929493904114
edible,inedible,antonym,0.9609900712966919
cheap,expensive,antonym,0.7801365852355957
inaudible,audible,antonym,0.94405198097229
incapable,capable,antonym,0.8299545049667358
fit,unfit,antonym,0.7102931141853333
unorganized,organized,antonym,0.9964104294776917
explicit,implicit,antonym,0.9940756559371948
possible,impossible,antonym,0.9465975165367126
unproductive,productive,antonym,0.9964154958724976
insensitive,sensitive,antonym,0.9859042763710022
illiterate,literate,antonym,0.8240840435028076
destructive,constructive,antonym,0.984572172164917
unborn,born,antonym,-0.5677103400230408
amicable,hostile,antonym,0.9836665987968445
wide,narrow,antonym,0.9807340502738953
perfect,imperfect,antonym,0.5915231108665466
ample,meager,antonym,0.11210867762565613
equal,unequal,antonym,0.9850785732269287
optional,obligatory,antonym,0.9516910314559937
courageous,cowardly,antonym,0.5338245034217834
sighted,blind,antonym,0.9854454398155212
unbearable,tolerable,antonym,0.9887688755989075
immature,mature,antonym,0.9986040592193604
pessimistic,optimistic,antonym,0.9999995231628418
intolerant,tolerant,antonym,0.9998998641967773
careless,careful,antonym,0.9684253931045532
unmoved,moved,antonym,-0.19100573658943176
meaningless,meaningful,antonym,0.9724175333976746
hateful,lovable,antonym,0.7947214841842651
unpaid,paid,antonym,0.6010884642601013
smart,stupid,antonym,0.9542969465255737
innocent,guilty,antonym,0.9087592363357544
