word,random,relation,cosine_similarity
plodding,bombastic,random,0.4755529761314392
unpalatable,melancholic,random,0.7915406823158264
obliging,definite,random,0.9865118861198425
punishing,recombinant,random,0.8930453062057495
opposed,ionic,random,0.35386115312576294
conspiratorial,buttery,random,-0.6601812839508057
behind,justified,random,0.7074002623558044
nice,profitable,random,0.3186666965484619
blank,unwrapped,random,0.6610143780708313
representative,unified,random,-0.9943816661834717
topped,separate,random,0.6292297840118408
interplanetary,apropos,random,0.769661009311676
scotch,frowning,random,0.6298263669013977
tattered,disordered,random,0.9485378265380859
condemning,breathed,random,0.9976748824119568
proactive,hoarse,random,-0.9972381591796875
conjugated,magnetized,random,0.6063218116760254
urinary,degenerative,random,0.9977304935455322
incidental,angled,random,0.6626713275909424
restrained,trying,random,0.9732881188392639
ungrateful,shaping,random,0.776534378528595
undersea,consequent,random,-0.6982704401016235
prevalent,fascinating,random,0.998979389667511
adjusted,runny,random,0.5156232714653015
cracked,calcareous,random,0.9581170082092285
made,flint,random,0.6740177869796753
black,unabated,random,-0.9767831563949585
textbook,asserting,random,0.9717451930046082
diurnal,forward,random,0.8565664291381836
alveolar,uncaring,random,0.701025664806366
profitable,weighted,random,0.9136845469474792
randomised,refractory,random,0.9707627892494202
trivial,lawless,random,0.8701047897338867
stereoscopic,cubic,random,0.7911542057991028
polite,embezzled,random,0.9756327867507935
cherished,right,random,0.8622301816940308
undeniable,regressive,random,0.8817140460014343
forked,grandiose,random,-0.9953487515449524
malaysian,colourful,random,-0.027000367641448975
unreleased,intent,random,0.6949480772018433
median,didactic,random,0.7024105191230774
brute,sociological,random,0.29193878173828125
elect,lackluster,random,-0.6883613467216492
approximate,unsatisfied,random,0.5360166430473328
admirable,reconciling,random,0.8980961441993713
autobiographical,efficient,random,0.9995468854904175
unlisted,subterranean,random,0.03043973445892334
colorless,torn,random,0.7897801995277405
limp,sultry,random,-0.49202561378479004
armored,bound,random,0.9897397756576538
clairvoyant,rampant,random,0.8471978902816772
hunched,deserving,random,-0.09688466787338257
nether,mandibular,random,0.9292841553688049
supernatural,olympian,random,-0.9654589891433716
situated,oriented,random,0.348450630903244
unpatriotic,approximate,random,0.013689696788787842
photometric,cynical,random,0.8818200826644897
insinuating,radiating,random,0.9937326908111572
incredulous,usual,random,0.7473580837249756
sensory,atomic,random,0.8255470991134644
liturgical,fortunate,random,0.7976526021957397
routine,bronze,random,-0.2661035358905792
sensuous,draconian,random,0.30049729347229004
borderline,solved,random,0.9862143993377686
wizard,transparent,random,-0.8998812437057495
misty,haunted,random,-0.45990675687789917
loath,generational,random,0.9249693155288696
respectable,rose,random,-0.9186035394668579
titled,home,random,0.5365411639213562
unprofitable,chartered,random,0.5878655314445496
brownish,dusty,random,0.015686482191085815
marbled,invisible,random,0.10565415024757385
abbreviated,thankful,random,0.5265514254570007
dismayed,absolute,random,0.9967470169067383
hepatic,statewide,random,-0.7097170352935791
assistant,adhesive,random,-0.2814062833786011
unproven,piezoelectric,random,0.8221460580825806
journalistic,exterior,random,0.8824118375778198
segregated,braced,random,0.793408989906311
fiscal,carbonated,random,0.7351649403572083
turbulent,mammoth,random,-0.9407051205635071
scorned,pyramidal,random,0.04488527774810791
statistical,mesmerizing,random,0.9938578605651855
blown,harmonized,random,0.8648873567581177
inebriated,prototypical,random,0.9991355538368225
helical,impacted,random,-0.44289007782936096
sectioned,impulsive,random,0.8230107426643372
bass,smashed,random,0.9116631746292114
select,obtuse,random,0.6339078545570374
countless,phylogenetic,random,0.5269320607185364
projecting,diseased,random,0.9942324757575989
proprietary,contextual,random,0.8958839774131775
cleft,tenfold,random,0.850351870059967
imaginable,illuminated,random,0.8740595579147339
regulated,intercollegiate,random,0.7913471460342407
entrenched,aromatic,random,0.2392890602350235
peerless,leisurely,random,0.9998530745506287
abreast,furthest,random,-0.2591523230075836
computational,measly,random,0.593434751033783
thematic,noticed,random,0.9397751092910767
premier,sultry,random,0.890169084072113
greasy,superficial,random,0.015392512083053589
branching,impaired,random,0.9294615387916565
digital,recessed,random,0.9422941207885742
tangy,galactic,random,-0.17844289541244507
modulated,speedy,random,-0.9533080458641052
bumpy,tireless,random,0.9959864616394043
puny,filthy,random,0.4655587673187256
blindfold,studious,random,-0.9213690757751465
undying,fruitful,random,0.9628257155418396
unusable,eager,random,0.4154094457626343
